匹配分,推荐等级,变化,赛道,公司,岗位,城市,部门,届别,招聘类型,发布时间,截止时间,首次发现,最后发现,投递链接,匹配理由
92,强匹配,持续招聘,零售 / 食品饮料,达能中国,市场营销管培生-达能中国 广东,上海 / 广州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/41d7477b-6d4f-4a0c-b782-0fa9ce0a0e4c,岗位核心词：管培生；对应经历：海外C端投放与安装—注册—留存—付费漏斗；对应经历：Python/SQL数据分析与AI工具应用；相关能力词：消费者洞察、数字化；符合2027届/校园招聘身份；意向城市：上海；包含一线轮岗/经营实践；可发挥数据与AI应用能力
75,推荐,持续招聘,零售 / 食品饮料,达能中国,医药管培生-达能成人医学营养-广州 广东,广州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/df1b15c1-8586-4ea2-922a-5fdc318b1ca9,岗位核心词：管培生；对应经历：7个项目一线检查与整改闭环；对应经历：多方沟通和跨部门项目推进；符合2027届/校园招聘身份；意向城市：广州；包含一线轮岗/经营实践；需要协同推进能力
75,推荐,持续招聘,零售 / 食品饮料,达能中国,医药管培生-达能成人医学营养-杭州 浙江,杭州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/35477de1-be0d-4476-a634-e5d230b960f8,岗位核心词：管培生；对应经历：7个项目一线检查与整改闭环；对应经历：多方沟通和跨部门项目推进；符合2027届/校园招聘身份；意向城市：杭州；包含一线轮岗/经营实践；需要协同推进能力
70,推荐,持续招聘,零售 / 食品饮料,达能中国,营运管培生-区域制造-达能中国饮料-丰润(唐山) 河北,,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/31745366-e987-4367-9ffd-234164c83edb,岗位核心词：管培生；对应经历：Python/SQL数据分析与AI工具应用；相关能力词：数字化；符合2027届/校园招聘身份；包含一线轮岗/经营实践；可发挥数据与AI应用能力
70,推荐,持续招聘,零售 / 食品饮料,达能中国,营运管培生-区域制造-达能中国饮料-武汉 湖北,武汉,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/97a21c8f-d938-4c58-8b50-3e4eed2fc1b6,岗位核心词：管培生；对应经历：Python/SQL数据分析与AI工具应用；相关能力词：数字化；符合2027届/校园招聘身份；包含一线轮岗/经营实践；可发挥数据与AI应用能力
67,推荐,持续招聘,零售 / 食品饮料,达能中国,医药管培生-达能成人医学营养-南京 江苏,南京,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/a121f5c1-332f-4b15-9e45-9df116af13ef,岗位核心词：管培生；对应经历：7个项目一线检查与整改闭环；对应经历：多方沟通和跨部门项目推进；符合2027届/校园招聘身份；包含一线轮岗/经营实践；需要协同推进能力
63,可关注,持续招聘,零售 / 食品饮料,达能中国,营运管培生-区域质量-达能中国饮料-邛崃 四川,成都,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://app.mokahr.com/campus-recruitment/danone/170511#/job/5bf36198-6f7d-426a-ada4-7ec5d581513a,岗位核心词：管培生；对应经历：多方沟通和跨部门项目推进；符合2027届/校园招聘身份；包含一线轮岗/经营实践；需要协同推进能力
46,低匹配,信息更新,新能源 / 高端制造,奇瑞汽车,全球采购中心 共28个职位,广州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://chery.zhiye.com/campus/jobs?2=%5B%7B%22id%22%3A%2210%22%2C%22label%22%3A%22%E5%85%A8%E7%90%83%E9%87%87%E8%B4%AD%E4%B8%AD%E5%BF%83%22%7D%5D,岗位核心词：采购；对应经历：Python/SQL数据分析与AI工具应用；对应经历：10余项招投标、预算复核与成本节约；相关能力词：数字化；未明确标注2027届，需复核；意向城市：广州；可发挥数据与AI应用能力
45,低匹配,持续招聘,AI / 互联网,阿里巴巴,AI产品经理-智能体 展开详情 更新于 2026-09-07 产品类 杭州 在招业务 千问办公,杭州,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus-talent.alibaba.com/campus/position/199908580004?deptCodes=,岗位核心词：ai产品、产品经理；对应经历：Python/SQL数据分析与AI工具应用；未明确标注2027届，需复核；意向城市：杭州；可发挥数据与AI应用能力
45,低匹配,持续招聘,AI / 互联网,阿里巴巴,AI产品经理-超级智能体 展开详情 更新于 2026-08-28 产品类 北京 / 广州 / 杭州 在招业务 千问事业部,杭州 / 广州 / 北京,,,,,,2026-09-18 15:11,2026-09-26 10:33,https://campus-talent.alibaba.com/campus/position/199907680002?deptCodes=,岗位核心词：ai产品、产品经理；对应经历：Python/SQL数据分析与AI工具应用；未明确标注2027届，需复核；意向城市：杭州；可发挥数据与AI应用能力
